,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
1494,161457,University of New England,0.129999995,94.33999634,1.710000038,1.370000005,2.099999905,94.26000214,64934.4,5.840000153,2.75999999,11.03999996,62,803,53800,53.8,45800,University of New England,Biddeford,ME,04005-9599,43.458172,-70.385882,0.8514,0.851449275,1070,0.0068,0.0296,0,0,0,0,0,0,0.0251,0,0,0,0,0,0.0023,0,0,0.2847,0.0068,0,0,0.0843,0,0,0,0,0.0433,0,0,0.0273,0,0,0,0,0,0.4556,0.0251,0.0091
1498,161518,Saint Joseph's College of Maine,0.07,94.18000031,2.24000001,1.139999986,2.069999933,94.72000122,63952.22,6.070000172,2.769999981,11.02000046,39,482,43300,43.3,26600,Saint Joseph's College of Maine,Standish,ME,04084-5236,43.82651,-70.483486,0.7763,0.776258993,989,0,0.0034,0,0,0.0136,0,0,0,0.0847,0,0,0,0,0,0.0136,0.0203,0,0.0407,0.0034,0,0.0034,0.0814,0.0034,0.0102,0.0034,0,0.0407,0.0136,0.0271,0.0339,0,0,0,0,0.0068,0.4102,0.1729,0.0136
1501,161554,University of Southern Maine,0.25999999,95.76000214,1.059999943,1.149999976,1.25999999,95.41999817,58065.5,7.03000021,2.819999933,10.93999958,271,2514,42600,42.6,29400,University of Southern Maine,Portland,ME,4103,43.662637,-70.276002,0.8777,0.877718989,984,0,0.0181,0,0.0047,0.0536,0,0.0079,0,0.0189,0.0268,0.0252,0.0079,0,0,0.0299,0.0418,0,0.0433,0.0118,0,0.0032,0.0205,0.0039,0,0.0189,0,0.0433,0,0.0331,0.1292,0,0,0,0,0.0394,0.1962,0.1931,0.0292
1513,161873,University of Baltimore,0.639999986,59.90999985,34.13999939,2.910000086,2.660000086,92.16000366,65721.01,8.93999958,3.640000105,11.02999973,119,708,60600,60.6,39300,University of Baltimore,Baltimore,MD,21201-5720,39.305834,-76.616591,0.5267,0.526706231,972,0,0.0166,0,0,0.0387,0.0622,0.0263,0,0,0,0,0,0,0.0401,0.0346,0,0,0,0,0,0.0207,0,0,0,0,0,0.0221,0.1577,0.0609,0.0498,0,0,0,0,0.0152,0.0941,0.343,0.018
1514,162007,Bowie State University,0.140000001,36.11000061,54.90999985,3.809999943,5.349999905,87.59999847,77046.6,6.909999847,3.809999943,11.19999981,126,1188,50500,50.5,31200,Bowie State University,Bowie,MD,20715-9465,39.018185,-76.759721,0.5747,0.574691127,883,0,0,0,0,0,0.1161,0.0449,0,0.0487,0,0,0,0.0474,0,0.0075,0,0,0.0724,0.0025,0,0,0.015,0,0,0,0,0.0874,0.0749,0.0512,0.0749,0,0,0,0,0.0487,0.1074,0.1673,0.0337
1515,162061,Capitol Technology University,0.289999992,50.77999878,40.43000031,3.910000086,5.300000191,87.81999969,73053.75,7.78000021,3.769999981,11.13000011,PrivacySuppressed,87,70100,70.1,41200,Capitol Technology University,Laurel,MD,20708,39.047047,-76.851413,0.9749,0.974860335,1023,0,0,0,0,0,0,0.3226,0,0,0.4516,0.1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1075,0
1519,162210,Washington Adventist University,0.280000001,47.22000122,37.52000046,5.309999943,13.22000027,77.23999786,69837.96,9.010000229,4.079999924,11.10000038,55,438,47900,47.9,33500,Washington Adventist University,Takoma Park,MD,20912,38.987206,-77.00131,0.3309,0.330909091,821,0,0,0,0,0.0046,0,0.037,0,0.1481,0,0,0,0,0,0.0046,0.1204,0,0.0648,0,0,0,0.0324,0.0139,0.0278,0,0,0.125,0,0,0,0,0,0,0,0.0093,0.2963,0.1157,0
1520,162283,Coppin State University,0.319999993,34.41999817,59.54000092,2.319999933,3.569999933,91.63999939,54222.17,13.56000042,5.130000114,10.84000015,168,1041,38300,38.3,24700,Coppin State University,Baltimore,MD,21216-3698,39.310786,-76.658547,0.3719,0.371884123,888,0,0,0,0,0,0,0.0096,0,0.0625,0,0,0,0,0,0.0168,0.0409,0,0.0337,0.0096,0,0,0.0505,0,0,0,0.0024,0.1178,0.149,0.1034,0.0264,0,0,0,0,0.0048,0.2548,0.0986,0.0192
1524,162584,Frostburg State University,0.07,75.91999817,18.52000046,2.589999914,2.980000019,92.79000092,70221.41,6.360000134,3.200000048,11.09000015,136,1467,45900,45.9,25500,Frostburg State University,Frostburg,MD,21532-1099,39.651509,-78.933871,0.6346,0.634551495,955,0,0.0078,0.0019,0.001,0.0466,0,0.0515,0,0.0883,0.0214,0,0.0039,0,0,0.0262,0.0709,0,0.067,0.0058,0,0.0029,0.0631,0.001,0,0.0155,0,0.0903,0.0534,0.0223,0.0699,0,0,0,0,0.0427,0.099,0.134,0.0136
1533,162928,Johns Hopkins University,0.349999994,75.69999695,12.46000004,6.070000172,7.739999771,85.80999756,81539.46,6.179999828,3.039999962,11.22999954,146,1548,85800,85.8,70300,Johns Hopkins University,Baltimore,MD,21218-2688,39.32838,-76.620799,0.1412,0.141202795,1453,0,0.0064,0,0.0012,0,0.0105,0.0216,0,0.0012,0.1937,0,0.0088,0,0,0.0379,0,0,0.1126,0.0338,0,0.0338,0,0.0023,0,0.021,0,0.0303,0,0,0.1231,0,0,0,0,0.0467,0.2462,0.063,0.0058
1540,163268,University of Maryland-Baltimore County,0.159999996,68.26000214,22.12999916,5.28000021,4.690000057,87.52999878,83010.29,4.920000076,2.74000001,11.27999973,277,2192,59500,59.5,37300,University of Maryland-Baltimore County,Baltimore,MD,21250,39.256686,-76.711607,0.5942,0.594223351,1209,0,0.0208,0,0.0133,0.0286,0,0.1605,0,0.0012,0.0706,0,0.0181,0,0,0.0212,0,0,0.1562,0.031,0,0.0141,0,0.0024,0,0.0094,0,0.1213,0,0.0463,0.133,0,0,0,0,0.0585,0.044,0.0259,0.0235
1541,163286,University of Maryland-College Park,0.090000004,67.81999969,20.44000053,6.369999886,6.519999981,84.04000092,90010.73,4.429999828,2.730000019,11.35999966,526,5367,68300,68.3,47100,University of Maryland-College Park,College Park,MD,20742,38.985379,-76.939494,0.4488,0.448758529,1315,0.0257,0.0083,0.0082,0.0151,0.0624,0,0.0513,0,0.048,0.1226,0,0.0218,0.0235,0.0001,0.0236,0,0,0.0953,0.0184,0,0.0026,0.0339,0.0065,0,0.0214,0,0.047,0,0,0.1667,0,0,0,0,0.0265,0.0163,0.1349,0.0198
1542,163295,Maryland Institute College of Art,0.07,79.59999847,11.64999962,4.360000134,6.889999866,88.04000092,80395.11,5.449999809,2.880000114,11.22999954,72,463,40300,40.3,29000,Maryland Institute College of Art,Baltimore,MD,21217-4134,39.308792,-76.621033,0.4735,0.473546359,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1543,163338,University of Maryland Eastern Shore,0.07,44.77999878,46.90000153,3.230000019,5.659999847,88.62000275,66039.83,9.479999542,4.260000229,11.02999973,133,1226,40400,40.4,26700,University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,38.211188,-75.687227,0.4906,0.490550421,834,0.0087,0,0,0.0017,0,0,0.0295,0,0.0104,0.0243,0.0225,0,0.0659,0,0.0347,0,0,0.1127,0.0104,0,0.0173,0.0693,0,0,0.0121,0,0.0277,0.1906,0,0.078,0,0,0,0.0277,0.0139,0.0589,0.1837,0
